id,latitude,longitude
1,52.4907,13.4726
3,52.4926,13.466
4,52.5002,13.4752
5,52.5031,13.4763
6,52.511,13.4637
7,52.5145,13.4604
36,52.5396,13.4136
38,52.5576,13.5635
63,52.549,13.4103
64,52.5089,13.4719
66,52.5278,13.4345
67,52.4931,13.4208
68,52.4963,13.4102
69,52.4966,13.4083
72,52.5387,13.3966
73,52.543876132469464,13.414408309769623
76,52.5328,13.4362
78,52.491374946790145,13.438643967914578
81,52.5041,13.4216
82,52.5677,13.3979
84,52.5109,13.4707
86,52.483,13.3256
87,52.5314,13.5756
89,52.5198,13.4621
91,52.5635,13.4528
92,52.522638441587,13.397980516896
95,52.5499,13.3757
96,52.5285,13.4324
97,52.5302,13.4301
98,52.5272,13.4087
99,52.5372,13.4016
100,52.5331,13.4201
101,52.5357,13.4171
102,52.5364,13.449
103,52.5592,13.4046
104,52.4958,13.4484
106,52.5305,13.3966
107,52.5369,13.4102
108,52.5328,13.4029
109,52.5076,13.3994
110,52.4136,13.3282
112,52.5414,13.4201
113,52.4296,13.2166
114,52.4397,13.2109
115,52.429,13.2255
116,52.5339,13.4088
117,52.4804,13.4175
118,52.5108,13.4699
119,52.522,13.4312
120,52.5196,13.4301
121,52.5208,13.4279
122,52.5211,13.4265
123,52.5036,13.4563
124,52.5175,13.4551
125,52.4939,13.4763
126,52.4984,13.4439
127,52.5403,13.5675
128,51.3057,6.7463
129,52.5025,13.4179
130,52.5236,13.3907
131,52.5193,13.3534
132,52.5153,13.4722
134,52.5514,13.4092
135,52.55200103145313,13.404119941139223
136,52.3925,13.1304
137,52.5233,13.3363
138,52.449,13.2463
139,52.5397,13.4272
140,52.5397,13.4345
142,52.5346,13.4397
145,52.5479,13.4171
146,52.5302,13.375
149,52.5045,13.3705
150,52.5279,13.3981
151,52.5057,13.3777
152,52.5152,13.3073
153,52.5146,13.3076
154,52.4989,13.3086
155,52.526,13.3461
158,52.5025,13.458
159,52.493562541806,13.310740176582
161,52.4814,13.283
162,52.49354120968997,13.397221633100589
165,47.0464,8.3217
167,52.5079,13.4617
168,52.4797,13.4245
169,52.484,13.4179
171,52.53,13.3352
173,52.472,13.3803
174,52.5416,13.4151
178,51.4484,7.2308
180,52.5163,13.4191
181,52.5261,13.4661
182,52.4315,13.3879
183,52.5108,13.5161
184,52.5112,13.5172
185,52.5238,13.3266
186,52.5084,13.4646
187,52.5074,13.4601
188,52.4708,13.449
189,52.4832,13.446
190,52.4398,13.279
191,52.4385,13.2779
192,52.4457,13.2879
193,52.4488,13.2847
194,52.4934,13.4029
195,52.4569,13.5751
196,52.4547,13.5669
197,52.4732,13.5673
198,52.5026,13.3967
199,52.502154685902,13.393591251659
